complaint_id,category,city,severity
1,Missing Item,Mumbai,Medium
2,Damaged Product,Delhi,High
3,Late Delivery,Mumbai,Low
4,Damaged Product,Mumbai,High
5,Damaged Product,Bangalore,Medium
6,Missing Item,Delhi,Low
7,Damaged Product,Mumbai,Medium
8,Missing Item,Delhi,High
9,Damaged Product,Delhi,Medium
10,Late Delivery,Delhi,Low
11,Wrong Item,Bangalore,High
12,Wrong Item,Chandigarh,Medium
13,Wrong Item,Delhi,High
14,Late Delivery,Chandigarh,Medium
15,Late Delivery,Mumbai,Low
16,Late Delivery,Delhi,Medium
17,Missing Item,Delhi,Low
18,Late Delivery,Chandigarh,Low
19,Late Delivery,Mumbai,High
20,Wrong Item,Delhi,Low
21,Wrong Item,Pune,High
22,Missing Item,Pune,Medium
23,Damaged Product,Chandigarh,Medium
24,Wrong Item,Chandigarh,Low
25,Late Delivery,Delhi,Low
26,Damaged Product,Chandigarh,Low
27,Late Delivery,Delhi,Medium
28,Missing Item,Mumbai,High
29,Damaged Product,Bangalore,Low
30,Damaged Product,Mumbai,High
31,Missing Item,Bangalore,Medium
32,Wrong Item,Chandigarh,Medium
33,Late Delivery,Bangalore,High
34,Wrong Item,Chandigarh,High
35,Wrong Item,Mumbai,Medium
36,Damaged Product,Pune,Low
37,Missing Item,Delhi,High
38,Late Delivery,Chandigarh,Low
39,Wrong Item,Delhi,High
40,Missing Item,Bangalore,Medium
41,Wrong Item,Pune,High
42,Late Delivery,Chandigarh,High
43,Missing Item,Pune,High
44,Wrong Item,Chandigarh,Medium
45,Missing Item,Pune,High
46,Damaged Product,Chandigarh,Low
47,Late Delivery,Mumbai,Low
48,Wrong Item,Pune,High
49,Late Delivery,Chandigarh,Medium
50,Missing Item,Chandigarh,Medium
51,Missing Item,Pune,Medium
52,Wrong Item,Mumbai,Medium
53,Late Delivery,Bangalore,High
54,Missing Item,Delhi,Low
55,Damaged Product,Mumbai,Low
56,Damaged Product,Chandigarh,Medium
57,Damaged Product,Mumbai,High
58,Late Delivery,Delhi,Low
59,Wrong Item,Delhi,Medium
60,Missing Item,Chandigarh,High
61,Damaged Product,Delhi,Medium
62,Wrong Item,Mumbai,Medium
63,Missing Item,Mumbai,Medium
64,Late Delivery,Mumbai,Medium
65,Late Delivery,Chandigarh,Medium
66,Missing Item,Bangalore,Low
67,Late Delivery,Chandigarh,Medium
68,Late Delivery,Delhi,Medium
69,Late Delivery,Mumbai,High
70,Missing Item,Delhi,High
71,Wrong Item,Pune,High
72,Damaged Product,Pune,High
73,Missing Item,Delhi,High
74,Missing Item,Delhi,High
75,Wrong Item,Bangalore,Low
76,Missing Item,Delhi,High
77,Damaged Product,Delhi,High
78,Damaged Product,Pune,High
79,Wrong Item,Mumbai,Low
80,Late Delivery,Delhi,Medium
81,Damaged Product,Delhi,High
82,Damaged Product,Chandigarh,High
83,Damaged Product,Mumbai,High
84,Late Delivery,Delhi,Medium
85,Wrong Item,Pune,Low
86,Missing Item,Pune,Low
87,Damaged Product,Bangalore,High
88,Missing Item,Delhi,Low
89,Wrong Item,Delhi,Medium
90,Wrong Item,Bangalore,High
91,Late Delivery,Mumbai,Medium
92,Missing Item,Chandigarh,High
93,Damaged Product,Pune,Medium
94,Damaged Product,Delhi,Medium
95,Late Delivery,Mumbai,Medium
96,Damaged Product,Pune,Medium
97,Damaged Product,Mumbai,Low
98,Wrong Item,Bangalore,High
99,Wrong Item,Bangalore,Low
100,Missing Item,Bangalore,Medium
101,Wrong Item,Delhi,Low
102,Missing Item,Bangalore,Medium
103,Damaged Product,Pune,Medium
104,Wrong Item,Pune,High
105,Damaged Product,Bangalore,Low
106,Damaged Product,Pune,Low
107,Damaged Product,Delhi,Low
108,Missing Item,Mumbai,Medium
109,Wrong Item,Pune,Low
110,Missing Item,Chandigarh,Low
111,Wrong Item,Chandigarh,Low
112,Missing Item,Mumbai,Low
113,Wrong Item,Mumbai,Low
114,Missing Item,Pune,High
115,Missing Item,Pune,High
116,Late Delivery,Delhi,Low
117,Missing Item,Pune,Medium
118,Late Delivery,Chandigarh,High
119,Wrong Item,Chandigarh,Medium
120,Late Delivery,Bangalore,Low
121,Damaged Product,Bangalore,High
122,Wrong Item,Chandigarh,Low
123,Late Delivery,Delhi,Medium
124,Late Delivery,Pune,Low
125,Wrong Item,Mumbai,High
126,Wrong Item,Delhi,High
127,Missing Item,Delhi,High
128,Missing Item,Pune,Low
129,Missing Item,Chandigarh,Low
130,Wrong Item,Chandigarh,Medium
131,Wrong Item,Chandigarh,Low
132,Wrong Item,Delhi,Medium
133,Missing Item,Mumbai,Medium
134,Wrong Item,Mumbai,Medium
135,Wrong Item,Pune,High
136,Missing Item,Bangalore,High
137,Missing Item,Pune,Low
138,Damaged Product,Bangalore,High
139,Damaged Product,Delhi,Low
140,Missing Item,Pune,Low
141,Late Delivery,Bangalore,Low
142,Late Delivery,Chandigarh,Low
143,Damaged Product,Bangalore,Medium
144,Late Delivery,Chandigarh,Medium
145,Damaged Product,Delhi,High
146,Missing Item,Delhi,Medium
147,Missing Item,Bangalore,Low
148,Damaged Product,Chandigarh,Low
149,Missing Item,Pune,High
150,Missing Item,Chandigarh,Low
151,Damaged Product,Chandigarh,Medium
152,Damaged Product,Mumbai,Low
153,Missing Item,Mumbai,Low
154,Damaged Product,Bangalore,High
155,Damaged Product,Chandigarh,Low
156,Wrong Item,Chandigarh,Low
157,Wrong Item,Bangalore,Medium
158,Wrong Item,Pune,Medium
159,Missing Item,Mumbai,Low
160,Late Delivery,Chandigarh,Medium
161,Damaged Product,Pune,Low
162,Wrong Item,Mumbai,High
163,Late Delivery,Bangalore,Low
164,Wrong Item,Pune,High
165,Missing Item,Chandigarh,Low
166,Late Delivery,Chandigarh,High
167,Damaged Product,Mumbai,Low
168,Wrong Item,Delhi,Low
169,Late Delivery,Delhi,High
170,Wrong Item,Delhi,High
171,Late Delivery,Chandigarh,Low
172,Late Delivery,Pune,Medium
173,Late Delivery,Delhi,Medium
174,Missing Item,Bangalore,High
175,Damaged Product,Bangalore,High
176,Missing Item,Chandigarh,High
177,Late Delivery,Delhi,High
178,Missing Item,Chandigarh,Medium
179,Wrong Item,Delhi,Medium
180,Late Delivery,Mumbai,Medium
181,Damaged Product,Mumbai,Low
182,Missing Item,Delhi,Low
183,Late Delivery,Chandigarh,Low
184,Late Delivery,Mumbai,Medium
185,Wrong Item,Mumbai,Low
186,Late Delivery,Pune,Medium
187,Late Delivery,Pune,Low
188,Missing Item,Delhi,Low
189,Damaged Product,Bangalore,Medium
190,Missing Item,Delhi,High
191,Late Delivery,Pune,Medium
192,Late Delivery,Chandigarh,Low
193,Damaged Product,Chandigarh,Medium
194,Missing Item,Chandigarh,High
195,Missing Item,Chandigarh,High
196,Late Delivery,Pune,Low
197,Late Delivery,Pune,Low
198,Damaged Product,Pune,Medium
199,Missing Item,Bangalore,Low
200,Damaged Product,Delhi,Low
201,Late Delivery,Chandigarh,Medium
202,Wrong Item,Delhi,Medium
203,Missing Item,Mumbai,Medium
204,Wrong Item,Mumbai,Medium
205,Late Delivery,Bangalore,Medium
206,Missing Item,Delhi,Medium
207,Late Delivery,Chandigarh,Low
208,Missing Item,Chandigarh,High
209,Late Delivery,Mumbai,High
210,Late Delivery,Delhi,Medium
211,Missing Item,Chandigarh,Medium
212,Wrong Item,Chandigarh,Low
213,Missing Item,Bangalore,High
214,Late Delivery,Pune,Low
215,Damaged Product,Chandigarh,Low
216,Damaged Product,Chandigarh,Low
217,Damaged Product,Chandigarh,Low
218,Wrong Item,Mumbai,Low
219,Late Delivery,Mumbai,Low
220,Late Delivery,Mumbai,Medium
221,Wrong Item,Delhi,High
222,Wrong Item,Bangalore,High
223,Wrong Item,Bangalore,Medium
224,Missing Item,Mumbai,High
225,Damaged Product,Bangalore,High
226,Wrong Item,Bangalore,Low
227,Late Delivery,Bangalore,Low
228,Missing Item,Bangalore,Low
229,Late Delivery,Mumbai,Medium
230,Late Delivery,Chandigarh,Medium
231,Damaged Product,Delhi,Medium
232,Wrong Item,Chandigarh,Low
233,Missing Item,Pune,Medium
234,Damaged Product,Delhi,Low
235,Missing Item,Chandigarh,Medium
236,Damaged Product,Mumbai,High
237,Wrong Item,Pune,Medium
238,Wrong Item,Delhi,High
239,Late Delivery,Mumbai,Medium
240,Missing Item,Delhi,Low
241,Late Delivery,Chandigarh,Low
242,Damaged Product,Bangalore,High
243,Missing Item,Delhi,Low
244,Damaged Product,Pune,Medium
245,Wrong Item,Pune,Low
246,Wrong Item,Pune,Low
247,Wrong Item,Mumbai,Medium
248,Damaged Product,Delhi,High
249,Damaged Product,Delhi,Low
250,Late Delivery,Bangalore,High
251,Damaged Product,Chandigarh,Low
252,Wrong Item,Chandigarh,Low
253,Wrong Item,Chandigarh,Medium
254,Wrong Item,Mumbai,Medium
255,Late Delivery,Delhi,Medium
256,Missing Item,Delhi,Medium
257,Wrong Item,Pune,Low
258,Late Delivery,Mumbai,Low
259,Late Delivery,Pune,Medium
260,Wrong Item,Mumbai,High
261,Damaged Product,Bangalore,Low
262,Late Delivery,Chandigarh,High
263,Missing Item,Delhi,Low
264,Damaged Product,Delhi,Low
265,Wrong Item,Chandigarh,Medium
266,Damaged Product,Pune,High
267,Late Delivery,Chandigarh,Medium
268,Damaged Product,Chandigarh,High
269,Late Delivery,Chandigarh,High
270,Missing Item,Chandigarh,Medium
271,Missing Item,Pune,High
272,Wrong Item,Bangalore,Medium
273,Wrong Item,Chandigarh,Medium
274,Damaged Product,Chandigarh,Medium
275,Damaged Product,Delhi,Medium
276,Damaged Product,Pune,High
277,Late Delivery,Delhi,Low
278,Late Delivery,Mumbai,Low
279,Missing Item,Mumbai,Low
280,Damaged Product,Pune,High
281,Late Delivery,Bangalore,Medium
282,Wrong Item,Bangalore,Low
283,Late Delivery,Pune,High
284,Missing Item,Chandigarh,Low
285,Wrong Item,Chandigarh,High
286,Wrong Item,Delhi,Medium
287,Wrong Item,Mumbai,High
288,Late Delivery,Bangalore,Medium
289,Damaged Product,Chandigarh,Low
290,Damaged Product,Mumbai,High
291,Missing Item,Mumbai,Low
292,Damaged Product,Chandigarh,Medium
293,Damaged Product,Delhi,Medium
294,Damaged Product,Mumbai,Low
295,Late Delivery,Mumbai,High
296,Wrong Item,Pune,Low
297,Late Delivery,Chandigarh,Medium
298,Damaged Product,Chandigarh,High
299,Missing Item,Pune,Low
300,Missing Item,Delhi,High
301,Wrong Item,Bangalore,Medium
302,Late Delivery,Mumbai,High
303,Missing Item,Chandigarh,Low
304,Damaged Product,Chandigarh,Low
305,Damaged Product,Bangalore,Medium
306,Damaged Product,Delhi,Medium
307,Damaged Product,Pune,Low
308,Damaged Product,Mumbai,High
309,Damaged Product,Bangalore,Low
310,Late Delivery,Mumbai,Medium
311,Late Delivery,Delhi,High
312,Damaged Product,Pune,Medium
313,Late Delivery,Chandigarh,Medium
314,Missing Item,Pune,High
315,Late Delivery,Delhi,High
316,Damaged Product,Chandigarh,Medium
317,Wrong Item,Bangalore,High
318,Wrong Item,Delhi,Low
319,Late Delivery,Bangalore,High
320,Wrong Item,Mumbai,Low
321,Wrong Item,Pune,Low
322,Missing Item,Bangalore,High
323,Wrong Item,Chandigarh,Medium
324,Damaged Product,Chandigarh,High
325,Wrong Item,Bangalore,Low
326,Damaged Product,Pune,Medium
327,Damaged Product,Chandigarh,Medium
328,Wrong Item,Chandigarh,Medium
329,Missing Item,Bangalore,High
330,Damaged Product,Mumbai,Low
331,Wrong Item,Delhi,Low
332,Wrong Item,Mumbai,Medium
333,Missing Item,Delhi,High
334,Late Delivery,Delhi,High
335,Missing Item,Delhi,Low
336,Missing Item,Pune,Medium
337,Missing Item,Mumbai,Medium
338,Wrong Item,Delhi,Low
339,Missing Item,Pune,High
340,Damaged Product,Mumbai,Medium
341,Missing Item,Chandigarh,Low
342,Missing Item,Delhi,Medium
343,Missing Item,Chandigarh,High
344,Late Delivery,Pune,High
345,Wrong Item,Mumbai,High
346,Late Delivery,Pune,Medium
347,Late Delivery,Pune,Low
348,Damaged Product,Delhi,High
349,Wrong Item,Bangalore,High
350,Wrong Item,Delhi,Medium
351,Late Delivery,Bangalore,High
352,Missing Item,Delhi,High
353,Damaged Product,Bangalore,Low
354,Wrong Item,Bangalore,Medium
355,Late Delivery,Pune,Medium
356,Wrong Item,Pune,High
357,Late Delivery,Mumbai,High
358,Late Delivery,Delhi,High
359,Late Delivery,Delhi,High
360,Late Delivery,Mumbai,Medium
361,Late Delivery,Pune,Low
362,Wrong Item,Bangalore,Low
363,Late Delivery,Mumbai,Low
