delivery_id,distance_km,traffic_index,rainfall,rider_count,delayed
1,9,3,1,6,1
2,18,5,0,43,0
3,13,8,0,34,1
4,8,9,0,48,1
5,17,7,0,20,0
6,12,4,0,32,0
7,4,6,1,47,1
8,14,9,0,31,1
9,7,7,0,13,0
10,10,5,1,19,1
11,18,6,1,13,1
12,20,4,1,31,1
13,24,3,1,34,1
14,15,1,0,39,0
15,16,2,0,26,0
16,1,4,0,11,0
17,4,9,1,45,1
18,15,8,0,43,1
19,12,6,1,38,1
20,20,9,0,12,1
21,24,7,1,8,1
22,8,4,0,13,0
23,23,8,1,12,1
24,23,2,0,17,0
25,8,2,0,10,0
26,1,8,1,9,1
27,7,6,0,13,0
28,12,8,0,47,1
29,21,3,0,31,0
30,2,5,1,20,1
31,10,3,1,42,1
32,20,1,1,24,1
33,5,7,1,8,1
34,16,7,1,9,1
35,9,5,1,47,1
36,23,7,1,38,1
37,7,4,1,32,1
38,12,7,1,19,1
39,11,1,1,37,1
40,8,7,1,24,1
41,21,8,1,17,1
42,23,7,0,46,0
43,12,5,0,20,0
44,7,8,1,18,1
45,1,1,1,41,1
46,11,5,1,17,1
47,11,6,1,10,1
48,5,2,0,45,0
49,19,2,0,23,0
50,7,1,0,41,0
51,18,3,0,22,0
52,5,6,1,42,1
53,14,6,0,44,0
54,23,6,0,48,0
55,14,9,1,48,1
56,23,5,0,42,0
57,19,8,0,31,1
58,4,5,0,12,0
59,18,8,1,33,1
60,12,4,1,32,1
61,22,6,1,35,1
62,4,8,0,40,1
63,19,4,0,43,0
64,10,8,0,48,1
65,6,6,1,40,1
66,9,7,1,43,1
67,9,6,0,35,0
68,18,1,1,9,1
69,23,2,0,40,0
70,10,1,1,29,1
71,17,7,0,27,0
72,21,4,0,8,0
73,19,2,1,29,1
74,24,6,0,22,0
75,2,9,0,6,1
76,20,8,1,47,1
77,11,1,0,17,0
78,19,6,0,5,0
79,15,2,1,32,1
80,7,3,1,5,1
81,23,7,0,30,0
82,24,5,1,19,1
83,16,7,1,6,1
84,17,7,0,25,0
85,24,6,0,46,0
86,8,4,0,7,0
87,13,1,0,40,0
88,10,7,0,15,0
89,13,8,1,47,1
90,2,9,1,31,1
91,23,7,1,32,1
92,17,2,0,20,0
93,12,7,0,28,0
94,19,1,0,44,0
95,14,2,1,39,1
96,2,6,0,49,0
97,14,2,0,17,0
98,12,2,0,31,0
99,5,5,1,45,1
