order_id,order_date,city,zone,product,quantity,revenue
1,2025-12-15,Bangalore,West,Eggs,7,707
2,2025-08-03,Bangalore,East,Eggs,7,924
3,2025-05-11,Pune,South,Vegetables,4,292
4,2025-07-11,Chandigarh,North,Milk,6,306
5,2025-01-22,Pune,West,Milk,12,1284
6,2025-02-28,Mumbai,West,Vegetables,17,2380
7,2025-07-09,Bangalore,West,Vegetables,16,1024
8,2025-05-15,Pune,North,Bread,3,300
9,2025-11-12,Mumbai,South,Milk,4,552
10,2025-04-02,Chandigarh,East,Vegetables,2,266
11,2025-02-04,Delhi,West,Bread,8,768
12,2025-01-02,Mumbai,West,Eggs,8,424
13,2025-02-13,Mumbai,South,Vegetables,18,2502
14,2025-10-31,Chandigarh,North,Eggs,14,2016
15,2025-02-22,Mumbai,North,Vegetables,16,2096
16,2025-06-06,Pune,North,Milk,13,1170
17,2025-12-10,Delhi,West,Rice,7,406
18,2025-06-12,Bangalore,North,Rice,19,2470
19,2025-01-28,Delhi,West,Vegetables,5,450
20,2025-02-17,Pune,East,Vegetables,2,164
21,2025-02-04,Delhi,East,Eggs,8,1080
22,2025-05-11,Delhi,North,Bread,15,1905
23,2025-07-26,Mumbai,South,Vegetables,14,1064
24,2025-03-04,Delhi,West,Eggs,13,1300
25,2025-08-19,Pune,East,Rice,4,572
26,2025-06-09,Bangalore,East,Vegetables,4,248
27,2025-02-14,Delhi,North,Vegetables,2,182
28,2025-12-06,Bangalore,West,Bread,12,1116
29,2025-08-13,Delhi,North,Rice,7,777
30,2025-12-25,Bangalore,North,Eggs,13,676
31,2025-08-22,Chandigarh,West,Rice,1,100
32,2025-04-23,Delhi,South,Vegetables,9,909
33,2025-04-23,Pune,North,Milk,12,1056
34,2025-05-10,Chandigarh,South,Eggs,17,867
35,2025-05-06,Mumbai,North,Vegetables,1,50
36,2025-09-04,Chandigarh,East,Rice,6,486
37,2025-10-07,Pune,West,Bread,17,1479
38,2025-08-28,Delhi,North,Vegetables,6,810
39,2025-12-15,Bangalore,West,Vegetables,6,774
40,2025-12-12,Bangalore,East,Rice,4,272
41,2025-05-08,Mumbai,West,Milk,7,707
42,2025-05-31,Mumbai,East,Vegetables,11,1551
43,2025-04-22,Delhi,West,Vegetables,16,2224
44,2025-10-31,Chandigarh,North,Eggs,17,867
45,2025-05-27,Bangalore,West,Milk,9,1332
46,2025-04-14,Chandigarh,South,Rice,11,1331
47,2025-04-09,Delhi,North,Bread,16,2208
48,2025-07-13,Bangalore,West,Eggs,14,1834
49,2025-06-10,Chandigarh,North,Eggs,9,1341
50,2025-05-15,Bangalore,North,Milk,16,1104
51,2025-01-22,Pune,East,Rice,16,2000
52,2025-10-13,Delhi,West,Milk,2,140
53,2025-10-31,Bangalore,West,Rice,5,550
54,2025-06-21,Chandigarh,South,Eggs,17,1122
55,2025-04-09,Chandigarh,North,Eggs,14,770
56,2025-06-30,Bangalore,West,Milk,17,1615
57,2025-05-08,Mumbai,North,Bread,1,116
58,2025-10-07,Mumbai,West,Bread,3,285
59,2025-09-30,Delhi,North,Rice,10,510
60,2025-06-19,Mumbai,East,Bread,16,1408
61,2025-11-09,Chandigarh,North,Vegetables,13,1417
62,2025-05-22,Chandigarh,East,Vegetables,1,57
63,2025-10-15,Bangalore,North,Bread,2,230
64,2025-06-19,Bangalore,West,Eggs,17,1717
65,2025-02-22,Chandigarh,West,Vegetables,1,57
66,2025-09-19,Pune,West,Vegetables,5,585
67,2025-11-07,Chandigarh,West,Eggs,15,2220
68,2025-05-27,Delhi,West,Rice,18,1422
69,2025-04-27,Delhi,West,Eggs,5,695
70,2025-05-02,Delhi,East,Bread,1,107
71,2025-08-25,Pune,North,Eggs,16,2208
72,2025-03-10,Pune,East,Rice,7,791
73,2025-05-24,Bangalore,North,Milk,12,900
74,2025-03-10,Delhi,South,Vegetables,14,1974
75,2025-08-06,Mumbai,West,Eggs,5,625
76,2025-10-16,Pune,East,Bread,7,1043
77,2025-04-10,Mumbai,West,Bread,10,1180
78,2025-04-06,Delhi,West,Eggs,19,2033
79,2025-01-16,Mumbai,North,Vegetables,13,689
80,2025-06-12,Chandigarh,North,Milk,12,1188
81,2025-04-11,Chandigarh,East,Milk,19,1748
82,2025-11-26,Bangalore,West,Eggs,1,89
83,2025-04-05,Mumbai,North,Rice,13,793
84,2025-08-03,Delhi,South,Eggs,18,1512
85,2025-04-25,Delhi,East,Vegetables,10,1390
86,2025-08-05,Pune,North,Milk,18,2232
87,2025-12-23,Delhi,West,Rice,4,236
88,2025-02-05,Mumbai,North,Eggs,17,2516
89,2025-01-13,Delhi,East,Milk,12,1248
90,2025-03-25,Delhi,South,Eggs,17,1887
91,2025-04-10,Chandigarh,North,Milk,19,1862
92,2025-09-22,Chandigarh,South,Vegetables,19,2375
93,2025-03-10,Bangalore,West,Milk,19,1235
94,2025-05-31,Delhi,East,Eggs,4,408
95,2025-08-11,Mumbai,North,Rice,10,1070
96,2025-05-26,Chandigarh,North,Bread,11,1364
97,2025-09-10,Pune,West,Bread,12,792
98,2025-10-10,Mumbai,South,Eggs,9,891
